                        ORT    Lon    Lat  Dep  Nus  NuP  NuS    ADS    MDS   GAP  RMS  ERH  ERZ  MAG
2020-01-01T05:31:40.000000Z 51.575 36.161 15.2    5    5    5 100.10  43.50 288.0  0.5 11.8  5.5  2.5
2020-01-01T05:33:19.500000Z 51.984 36.477  7.4    7    7    7  74.30  33.70 110.0  1.1  8.8 11.6  3.5
2020-01-01T05:35:00.100000Z 51.683 35.998 16.0    5    5    5  94.62  32.10 226.0  0.9 16.6  7.8  2.5
2020-01-01T05:36:40.100000Z 52.086 36.313 17.7    5    5    5  90.64  71.00 171.0  1.2 12.8 28.0  2.5
2020-01-01T05:38:19.300000Z 51.871 36.014 20.7    8    8    8  85.76  15.10 284.0  0.8 15.0  5.6  4.0
2020-01-01T05:40:00.300000Z 51.568 35.802  1.5    5    5    5 114.58  49.80 333.0  0.5 18.0  7.8  2.5
2020-01-01T05:41:40.200000Z 52.085 36.273  9.0    8    8    8  69.62  26.20  96.0  1.1  7.8  9.4  4.0
2020-01-01T05:43:21.200000Z 52.007 36.468  8.8    8    8    8  72.95  28.00 185.0  0.7  7.4  4.8  4.0
2020-01-01T05:45:01.000000Z 52.366 36.022 23.2    5    5    5  73.68  29.90 281.0  1.1 21.4 10.7  2.5
2020-01-01T05:46:39.800000Z 51.470 35.594 14.5    9    9    9 141.91  71.10 271.0  0.8 20.7 21.4  4.5
2020-01-01T05:48:20.300000Z 51.838 36.231 11.0    7    7    7  83.61  32.70 187.0  0.7  7.9  7.8  3.5
2020-01-01T05:50:00.900000Z 52.075 35.535 15.5    9    9    9 121.33  56.20 252.0  0.8 11.5  7.1  4.5
2020-01-01T05:51:40.200000Z 51.955 36.321 20.7    8    8    8  72.04  23.20 100.0  0.8  7.5  7.1  4.0
2020-01-01T05:53:19.400000Z 51.904 35.838 16.0    9    9    9 104.32  25.50 232.0  1.2 15.5  7.9  4.5
2020-01-01T05:54:59.600000Z 52.460 36.002 16.2    8    8    8  87.25  36.70 197.0  0.7  7.1  4.3  4.0
2020-01-01T05:56:40.000000Z 51.845 36.071 18.8    6    6    6 102.10  67.80 290.0  0.8 16.9 11.6  3.0
