                        ORT    Lon    Lat  Dep  Nus  NuP  NuS    MDS   GAP  RMS   ERH   ERZ  MAG
2020-01-01T04:00:00.300000Z 52.054 36.055  1.8    5    6    6  25.90 286.0  0.2   7.5   4.0  3.0
2020-01-01T04:01:39.700000Z 51.733 36.003  7.1    8    8    8  27.60 291.0  0.3   6.3   2.5  4.0
2020-01-01T04:03:19.500000Z 51.943 35.981 17.2    7    8    8  10.60 216.0  0.4   5.6   2.3  4.0
2020-01-01T04:05:00.200000Z 52.102 35.856 12.7    6    6    6  21.30 225.0  0.4   7.0   4.3  3.0
2020-01-01T04:06:39.700000Z 51.976 35.916  8.6    9    9    9  14.90 222.0  0.4   4.8   3.3  4.5
2020-01-01T04:08:19.600000Z 52.087 36.165 14.9    6    8    8  14.40 192.0  0.4   5.0   2.7  4.0
2020-01-01T04:09:59.100000Z 51.739 36.095 20.9    5    5    5  27.30 281.0  0.3  10.5   4.7  2.5
2020-01-01T04:11:40.100000Z 52.443 35.679  5.3    6    7    7  54.40 266.0  0.4   7.6   4.4  3.5
2020-01-01T04:13:20.000000Z 51.830 35.808  4.0   10   10   10  31.80 238.0  0.5   9.4   5.4  5.0
2020-01-01T04:15:00.000000Z 51.935 36.365  7.6    7    8    8  37.10 163.0  0.3   2.4   3.2  4.0
2020-01-01T04:16:39.900000Z 51.987 35.844 16.5    6    8    8  22.30 229.0  0.4   7.8   3.5  4.0
2020-01-01T04:18:20.600000Z 52.122 35.924  8.0    5    6    6  15.20 292.0  0.3  11.2   7.2  3.0
2020-01-01T04:20:00.300000Z 52.244 36.080 15.9    9    9    9  19.30 173.0  0.4   3.2   1.9  4.5
2020-01-01T04:21:40.400000Z 52.319 35.872 14.0    7    8    8  31.70 220.0  0.3   4.6   2.3  4.0
2020-01-01T04:23:19.900000Z 52.677 36.176 13.3    9    9    9  21.10 167.0  0.4   3.7   3.0  4.5
2020-01-01T04:25:00.000000Z 52.147 35.988  8.0   10   10   10  11.70 211.0  0.5   3.9   3.8  5.0
2020-01-01T04:26:39.800000Z 51.839 35.804 17.0    7    8    8  31.70 238.0  0.5   8.3   3.6  4.0
2020-01-01T04:28:19.300000Z 51.896 35.753 35.2    4    5    5 108.00 294.0  0.2  18.8   6.6  2.5
2020-01-01T04:29:59.700000Z 52.052 35.816 10.1    8    9    9  50.70 246.0  0.3   3.8   4.3  4.5
2020-01-01T04:31:40.200000Z 52.149 36.219  9.1    5    5    5   6.20 145.0  0.2   3.8   1.6  2.5
2020-01-01T04:33:19.900000Z 51.846 36.262 14.2    8    9    9  29.80 128.0  0.4   3.6   3.4  4.5
2020-01-01T04:35:00.100000Z 52.000 36.260  5.5    4    5    5  18.10 189.0  0.2   9.3   4.6  2.5
2020-01-01T04:36:40.100000Z 52.093 36.268 17.7    4    5    5  25.70 166.0  0.4   7.6   4.2  2.5
2020-01-01T04:38:20.100000Z 51.790 35.967  8.5    4    6    6  23.60 231.0  0.1   4.7   4.8  3.0
2020-01-01T04:40:00.400000Z 52.352 35.839 18.1    6    6    6  65.80 223.0  0.1   3.8   4.8  3.0
2020-01-01T04:41:39.900000Z 51.546 35.560  5.1    7   10   10  69.30 269.0  0.4   5.2   6.4  5.0
2020-01-01T04:43:19.800000Z 51.460 35.534  6.9    7    7    7  86.60 275.0  0.3   7.5   6.3  3.5
2020-01-01T04:44:59.900000Z 51.906 36.287 17.2    7    7    7  26.70 173.0  0.4   4.0   3.2  3.5
2020-01-01T04:46:39.900000Z 51.895 36.060 17.7    8    9    9  12.80 193.0  0.3   4.1   2.7  4.5
2020-01-01T04:48:20.600000Z 51.989 36.014 11.6    7    7    7  32.90 220.0  0.2   5.0   4.6  3.5
2020-01-01T04:49:59.600000Z 51.932 35.960 17.4    7    7    7  12.90 283.0  0.2   4.0   0.9  3.5
2020-01-01T04:51:40.200000Z 52.099 35.742 13.4    5    5    5  33.60 255.0  0.5  10.8   5.4  2.5
2020-01-01T04:53:20.100000Z 52.228 36.198 18.1    7    8    8   6.96 139.0  0.4   6.4  10.0  4.0
2020-01-01T04:54:59.400000Z 51.948 36.170 15.5    5    5    5  53.50 279.0  0.4   6.4   3.0  2.5
2020-01-01T04:56:41.200000Z 51.856 35.936 15.5    5    6    6  19.90 314.0  0.2   8.5   2.8  3.0
2020-01-01T04:58:19.200000Z 52.061 35.922  8.7    5    5    5  13.40 243.0  0.3   7.1   2.4  2.5
2020-01-01T05:00:01.400000Z 51.905 35.897 11.5    6    6    6  48.00 238.0  0.4   7.2   7.3  3.0
2020-01-01T05:01:40.300000Z 51.896 36.204 17.6    5    6    6  22.00 230.0  0.1   9.4   3.7  3.0
2020-01-01T05:03:19.200000Z 51.566 36.063  0.3    7    9    9  40.40 215.0  0.2   4.5   4.4  4.5
2020-01-01T05:04:59.700000Z 51.945 36.151 15.8    8    8    8  25.80 195.0  0.4   3.8   4.3  4.0
2020-01-01T05:06:40.300000Z 52.148 35.444 12.0    5    5    5  90.30 257.0  0.2   6.4   6.1  2.5
2020-01-01T05:08:20.300000Z 52.144 36.076 13.5    6    7    7  52.90 201.0  0.5  11.3  15.6  3.5
2020-01-01T05:10:00.800000Z 52.021 35.936  9.3    4    5    5  11.60 242.0  0.1   8.3   4.0  2.5
2020-01-01T05:11:40.300000Z 52.194 35.917 18.7    7    7    7  19.80 253.0  0.4   7.3   4.9  3.5
2020-01-01T05:13:19.800000Z 52.419 36.128 18.0    7    7    7  35.90 168.0  0.4   4.3   3.8  3.5
2020-01-01T05:14:59.800000Z 52.476 35.818 14.7   10   10   10  46.80 224.0  0.4   3.7   2.2  5.0
2020-01-01T05:16:39.900000Z 51.609 36.152 12.0    8    8    8  38.70 205.0  0.4   7.0   7.0  4.0
2020-01-01T05:18:21.500000Z 52.196 36.004 18.1    4    5    5  76.10 235.0  0.0  57.1  98.5  2.5
2020-01-01T05:20:00.100000Z 51.644 35.910 11.9    8    9    9  38.20 237.0  0.4   5.2   3.0  4.5
2020-01-01T05:21:39.200000Z 52.158 35.947  3.0    7    7    7  15.20 215.0  0.4   4.0   4.3  3.5
2020-01-01T05:23:20.300000Z 51.962 35.983 17.9    8    9    9   9.17 225.0  0.3   8.4   2.7  4.5
2020-01-01T05:24:59.800000Z 51.792 35.883 10.0    9    9    9  28.10 232.0  0.4   8.6   3.9  4.5
2020-01-01T05:26:40.000000Z 51.669 36.405 11.6    8    9    9  42.80 135.0  0.2   3.1   3.7  4.5
2020-01-01T05:28:19.600000Z 51.887 36.091  6.3    8   10   10  14.50 178.0  0.4   5.7   4.5  5.0
2020-01-01T05:30:00.100000Z 51.745 36.188 17.1    9    9    9  41.70 194.0  0.3   4.5   3.9  4.5
2020-01-01T05:31:40.200000Z 51.588 36.191 11.2    5    5    5  43.60 284.0  0.2   5.8   3.2  2.5
2020-01-01T05:33:19.900000Z 51.996 36.469 14.4    7    7    7  32.80 108.0  0.3   3.4   4.7  3.5
2020-01-01T05:34:58.900000Z 51.735 36.025  0.0    4    5    5  27.10 225.0  0.3  17.1  33.1  2.5
2020-01-01T05:36:19.800000Z 50.775 36.290  0.0    4    5    5  39.40 325.0  0.1 130.9  65.3  2.5
2020-01-01T05:38:20.000000Z 51.893 36.028 19.4    8    8    8  12.90 283.0  0.3   6.3   2.4  4.0
2020-01-01T05:40:00.200000Z 51.526 35.824  5.4    5    5    5  51.90 334.0  0.3   9.5   2.4  2.5
2020-01-01T05:41:40.200000Z 52.098 36.256  8.5    7    8    8  24.50 101.0  0.5   3.7   3.6  4.0
2020-01-01T05:43:20.400000Z 51.959 36.464 10.0    8    8    8  29.60 195.0  0.5   8.2   3.7  4.0
2020-01-01T05:44:59.700000Z 52.281 35.988 29.4    4    5    5  30.60 296.0  0.1  13.6  21.6  2.5
2020-01-01T05:46:40.300000Z 51.443 35.612 18.0    8    9    9  71.60 306.0  0.3   8.2   4.3  4.5
2020-01-01T05:48:20.100000Z 51.840 36.261  9.1    7    7    7  32.40 182.0  0.5   4.9   4.6  3.5
2020-01-01T05:49:59.400000Z 52.068 35.515  6.0    8    9    9  58.40 254.0  0.5   5.3   4.9  4.5
2020-01-01T05:51:40.000000Z 51.962 36.357 15.2    8    8    8  24.20 101.0  0.4   4.1   3.1  4.0
2020-01-01T05:53:20.000000Z 51.968 35.892  8.1    4    9    9  17.60 284.0  0.4  16.3  10.7  4.5
2020-01-01T05:54:59.600000Z 52.461 35.994 15.7    7    8    8  37.40 198.0  0.4   3.7   2.2  4.0
2020-01-01T05:56:40.100000Z 51.878 36.080 16.3    6    6    6  65.20 288.0  0.3  13.6   9.1  3.0
2020-01-01T05:58:20.100000Z 51.995 35.922 16.6    9    9    9  13.70 282.0  0.3   7.8   4.4  4.5
2020-01-01T05:59:59.400000Z 52.249 36.216 13.2    4    5    5  57.80 253.0  0.3  10.1   9.1  2.5
2020-01-01T06:01:39.500000Z 52.183 35.964 11.4    6    6    6  15.80 228.0  0.5   6.5   5.3  3.0
2020-01-01T06:03:20.500000Z 52.277 36.015 21.6    5    7    7  56.60 266.0  0.3   6.8   3.5  3.5
2020-01-01T06:05:00.300000Z 52.104 36.253  8.9    7    7    7   8.67 181.0  0.3   2.3   1.9  3.5
2020-01-01T06:06:40.100000Z 52.185 36.393 14.6    9   10   10  15.20  94.0  0.4   3.4   3.4  5.0
2020-01-01T06:08:19.700000Z 52.089 35.592  8.3   10   10   10  50.10 248.0  0.3   4.5   3.1  5.0
2020-01-01T06:09:59.900000Z 51.754 36.306  8.3    5    6    6  38.80 129.0  0.1   2.1   3.9  3.0
2020-01-01T06:11:40.400000Z 51.948 36.091 23.0    4    5    5  60.20 296.0  0.1   5.1   3.4  2.5
2020-01-01T06:13:19.300000Z 51.788 36.202  4.7    5    7    7  28.50 295.0  0.3  12.3   4.8  3.5
2020-01-01T06:15:00.400000Z 51.982 36.322 10.0    4    5    5  31.60 192.0  0.3  13.0  12.4  2.5
2020-01-01T06:16:39.900000Z 51.883 36.252 13.5   10   10   10  27.10 124.0  0.4   2.6   2.6  5.0
2020-01-01T06:18:19.500000Z 52.167 35.814 19.3    8    8    8  49.10 228.0  0.5   7.1   6.1  4.0
2020-01-01T06:20:00.100000Z 52.246 35.798 12.1    8    8    8  33.00 252.0  0.3   3.9   2.7  4.0
