 Year Date HRMM  Sec Latitud Longitud Depth Error Error Error NST  RMS GAP
 2021  4 4 0858  1.6  28.922   50.923  11.3   1.3   1.0   1.3   9  0.1 133
 2021  4 4 0900 30.2  28.925   50.917  10.7   0.4   0.4   0.5  26  0.1  60
 2021  4 4 0901 11.8  28.925   50.924  10.7   0.4   0.4   0.6  22  0.1 117
 2021  4 4 0901 11.6  28.933   50.919  11.2   0.5   0.5   0.6  19  0.1 100
 2021  4 4 0901 45.7  28.925   50.920  10.5   0.4   0.4   0.6  18  0.1 125
 2021  4 4 0902 14.7  28.925   50.920  10.6   0.4   0.4   0.6  17  0.1 129
 2021  4 4 0903 25.7  28.929   50.911  11.4   0.9   1.2   1.2   7  0.1 146
 2021  4 4 0903 59.6  28.928   50.920  11.1   0.5   0.4   0.7  19  0.1 129
 2021  4 4 0904 53.2  28.926   50.919  10.8   0.4   0.4   0.5  23  0.1 113
 2021  4 4 0914  5.4  28.930   50.916  11.0   0.6   0.6   0.6  15  0.1 140
 2021  4 4 0916  4.0  28.931   50.924  11.6   0.4   0.4   0.6  19  0.1  87
 2021  4 4 0937  7.6  28.927   50.920   9.1   0.6   0.6   0.8  15  0.1 138
 2021  4 4 0942 54.2  28.921   50.919  10.2   0.4   0.4   0.7  23  0.1  88
 2021  4 4 0943 25.4  28.930   50.916  10.7   0.4   0.5   0.6  15  0.1 141
 2021  4 4 0943 57.7  28.929   50.924  12.0   0.4   0.4   0.6  25  0.1 109
 2021  4 4 0944 31.0  28.924   50.919  10.7   0.7   0.6   0.9  12  0.1 123
 2021  4 4 0944 47.4  28.931   50.925  12.1   0.7   0.8   0.8  12  0.1 114
 2021  4 4 0947 14.2  28.924   50.920  11.0   0.4   0.5   0.5  24  0.1 105
 2021  4 4 0958 49.7  28.927   50.925  11.2   0.4   0.5   0.6  19  0.1 133
 2021  4 4 1017 58.8  28.926   50.919  10.7   0.4   0.5   0.6  23  0.1 114
 2021  4 4 1019 28.7  28.925   50.923  11.4   0.4   0.4   0.7  19  0.1 124
 2021  4 4 1019 54.9  28.930   50.924  11.7   0.4   0.6   0.7  19  0.1 114
 2021  4 4 1030 47.8  28.926   50.926  11.0   0.5   0.6   0.8  17  0.1 125
 2021  4 4 1159  6.4  28.921   50.921  10.4   0.3   0.4   0.5  27  0.1  59
 2021  4 4 1206 57.3  28.932   50.925  10.6   0.6   0.8   1.0  11  0.0 155
 2021  4 4 1209 48.5  28.923   50.923  10.8   0.4   0.5   0.7  19  0.1 128
 2021  4 4 1210 14.9  28.923   50.925  11.6   0.9   0.7   0.9  12  0.1 119
 2021  4 4 1211 44.5  28.926   50.922  10.5   0.4   0.5   0.7  15  0.1 131
 2021  4 4 1217 59.4  28.927   50.927  11.8   0.4   0.5   0.7  17  0.1 134
 2021  4 4 1223  6.4  28.915   50.920  11.1   0.7   0.6   0.8  14  0.1 132
 2021  4 4 1223 19.1  28.928   50.917  11.0   0.7   0.6   0.8  13  0.1 136
 2021  4 4 1228 55.4  28.924   50.922  10.6   0.4   0.4   0.6  18  0.1 124
 2021  4 4 1235  4.8  28.926   50.926  11.6   0.4   0.4   0.6  23  0.1  86
 2021  4 4 1235 21.2  28.924   50.921  10.7   0.4   0.4   0.6  22  0.1 122
 2021  4 4 1235 58.7  28.925   50.921  10.4   0.4   0.4   0.6  16  0.1 130
 2021  4 4 1236 20.1  28.914   50.936  12.6   0.8   0.7   0.9  12  0.1  78
 2021  4 4 1238 34.1  28.926   50.923  11.4   0.5   0.6   0.7  14  0.1 119
 2021  4 4 1239 46.9  28.925   50.918  11.3   0.6   0.8   0.9  13  0.1 125
 2021  4 4 1243 27.7  28.922   50.921  10.4   0.4   0.3   0.6  20  0.1 119
 2021  4 4 1246 15.8  28.930   50.917   9.8   0.7   0.6   0.8  12  0.1 141
 2021  4 4 1249 45.9  28.925   50.925  11.2   0.5   0.6   0.8  13  0.1 135
 2021  4 4 1250 40.9  28.924   50.919  11.1   1.1   1.0   1.6   8  0.1 122
 2021  4 4 1253  1.2  28.923   50.928  11.3   0.4   0.5   0.7  21  0.1 120
 2021  4 4 1253 33.3  28.926   50.924  11.8   1.1   0.9   1.0  12  0.0 131
 2021  4 4 1253 47.4  28.926   50.922  10.2   0.5   0.5   0.7  16  0.1 132
 2021  4 4 1255 21.4  28.921   50.923  10.3   0.4   0.4   0.7  20  0.1 118
 2021  4 4 1256  8.9  28.927   50.925  10.8   0.6   0.6   0.8  15  0.1 135
 2021  4 4 1258 31.6  28.921   50.924  10.8   0.4   0.4   0.5  25  0.1 101
 2021  4 4 1258 47.5  28.937   50.927  12.2   0.7   0.7   0.7  14  0.1 101
 2021  4 4 1259 49.3  28.922   50.925  10.0   0.5   0.5   0.7  16  0.1 123
